Instances,Source,Push0_Max,Push_max,PAR_Max,PAR0_Max,P2R_Max,P2R0_Max,Pseudo_Max,algo_Push,algo_PAR,algo_P2R,algo_Pseudo,x_PushROC,x_PARROC,x_P2RROC,x_PseudoROC,feature_Nodes,feature_Arcs,feature_Density,feature_CapDens,feature_AvNdDgr,feature_TrivialEtraFlw,feature_PrcNetPotPth,feature_EstMinPrcDepFlw,feature_PerBdCap,feature_PerGdCap,feature_StDAC,feature_OutlMxCap,feature_OutlMnCap,feature_CapAvNddg,feature_RlCapAvNddg,feature_RlPotNetExcess,feature_AVRlPotNetExcess
Netgen_n10000_d0.01_c1000_1,Netgen,976789,976789,976789,976789,976789,976789,976789,0.93,0.34,0.54,0.173,240719,26077,111638,547794,10000,999900,0.01,98.9792,99.99,42878,0.000103,170.8735,0.99,0.010001,93500.8245,94.9864,0.000101,989792.3118,1.0528,12670.0802,1.2671
Netgen_n10000_d0.01_c1000_2,Netgen,540141,540141,540141,540141,540141,540141,540141,0.6,0.19,0.25,0.068,144172,14797,53044,177748,10000,999900,0.01,54.9598,99.99,43878,0.000106,158.1249,0.99,0.010001,49702.8644,90.9756,0.000182,549597.8962,1.0992,22917.7699,2.292
Netgen_n10000_d0.01_c1000_3,Netgen,435065,435065,435065,435065,435065,435065,435065,0.38,0.15,0.2,0.071,102700,11012,38712,170811,10000,999900,0.01,43.4754,99.99,0,0.0001,99.9384,0.99,0.010001,38274.3943,88.5888,0.00023,434753.5755,1.1288,28747.4119,2.875
Netgen_n10000_d0.01_c1000_4,Netgen,568187,568187,568187,568187,568187,568187,568187,0.46,0.18,0.2,0.076,135518,13896,51973,200223,10000,999900,0.01,54.9602,99.99,0,0.000103,129.6344,0.99,0.010001,49702.8599,90.9749,0.000182,549602.3178,1.0992,22699.72,2.2702
Netgen_n10000_d0.01_c1000_5,Netgen,419502,419502,419502,419502,419502,419502,419502,0.32,0.13,0.16,0.049,86642,10321,33869,117283,10000,999900,0.01,43.2927,99.99,0,9.70E-05,75.3417,0.99,0.010001,38095.3201,88.5468,0.000231,432927.102,1.1293,28791.7734,2.8795
Netgen_n10000_d0.01_c10000_1,Netgen,400934,400934,400934,400934,400934,400934,400934,0.08,0.03,0.03,0.003,11537,767,656,12534,10000,999900,0.01,62.4614,99.99,0,6.40E-05,84.1311,0.61777,0.38223,12696.3444,20.6992,0.00016,624614.467,4.8311,198072.7689,19.8093
Netgen_n10000_d0.01_c10000_2,Netgen,799102,799102,799102,799102,799102,799102,799102,0.11,0.04,0.05,0.017,18008,1643,2658,23914,10000,999900,0.01,78.1479,99.99,160707,0.000123,116.4476,0.77419,0.22581,28180.9036,36.6918,0.000128,781478.8563,2.7254,158777.7091,15.8794
Netgen_n10000_d0.01_c10000_3,Netgen,113248,113248,113248,113248,113248,113248,113248,0.04,0.03,0.03,0.002,10117,160,167,9714,10000,999900,0.01,58.9534,99.99,0,1.90E-05,31.2343,0.58435,0.41565,9370.799,16.054,0.00017,589533.7144,6.229,214123.9047,21.4145
Netgen_n10000_d0.01_c10000_4,Netgen,232027,232027,232027,232027,232027,232027,232027,0.04,0.03,0.03,0.002,10679,421,341,10783,10000,999900,0.01,58.1103,99.99,0,4.00E-05,85.1547,0.57452,0.42548,8515.9777,14.7247,0.000172,581103.3069,6.7913,214815.6978,21.4837
Netgen_n10000_d0.01_c10000_5,Netgen,1122181,1122181,1122181,1122181,1122181,1122181,1122181,0.13,0.04,0.04,0.018,26050,2630,4295,28608,10000,999900,0.01,117.8985,99.99,0,9.50E-05,90.361,0.99,0.010001,67585.5004,57.9834,8.50E-05,1178984.832,1.7246,106201.3724,10.6212
Netgen_n10000_d0.01_c100000_1,Netgen,5042980,5042980,5042980,5042980,5042980,5042980,5042980,0.17,0.03,0.05,0.014,25584,1196,3159,19288,10000,999900,0.01,545.2388,99.99,4523568,0.000176,94.6263,0.53963,0.46037,53187.2896,9.1703,1.80E-05,5452388.036,10.9048,228542.0614,22.8565
Netgen_n10000_d0.01_c100000_2,Netgen,5397042,5397042,5397042,5397042,5397042,5397042,5397042,0.1,0.03,0.04,0.015,14782,1175,1816,18734,10000,999900,0.01,545.0669,99.99,2025644,0.000136,98.4128,0.53908,0.46092,53210.5349,9.1732,1.80E-05,5450668.85,10.9013,230097.0039,23.012
Netgen_n10000_d0.01_c100000_3,Netgen,2989378,2989378,2989378,2989378,2989378,2989378,2989378,0.04,0.03,0.03,0.002,11172,504,455,11366,10000,999900,0.01,546.6936,99.99,0,5.50E-05,85.957,0.5418,0.4582,54860.0858,9.5083,1.80E-05,5466936.339,10.5171,227819.0795,22.7842
Netgen_n10000_d0.01_c100000_4,Netgen,3978193,3978193,3978193,3978193,3978193,3978193,3978193,0.07,0.03,0.03,0.002,11620,735,660,12022,10000,999900,0.01,544.9214,99.99,0,7.30E-05,89.0409,0.5395,0.4605,53210.8378,9.1756,1.80E-05,5449214.303,10.8984,233623.909,23.3647
Netgen_n10000_d0.01_c100000_5,Netgen,5044617,5044617,5044617,5044617,5044617,5044617,5044617,0.08,0.03,0.03,0.004,14118,1106,1017,14466,10000,999900,0.01,541.8234,99.99,0,9.30E-05,104.1942,0.53641,0.46359,50423.2849,8.6103,1.80E-05,5418234.125,11.614,232157.6234,23.2181
Netgen_n10000_d0.01_c1000000_1,Netgen,46885132,46885132,46885132,46885132,46885132,46885132,46885132,0.07,0.03,0.03,0.002,11672,866,714,11628,10000,999900,0.01,5002.4649,99.99,0,9.40E-05,107.774,0.50518,0.49482,287136.6864,1.999,2.00E-06,50024649,50.0247,255501.1527,25.5527
Netgen_n10000_d0.01_c1000000_2,Netgen,21735874,21735874,21735874,21735874,21735874,21735874,21735874,0.04,0.03,0.03,0.002,10819,382,320,10581,10000,999900,0.01,4995.621,99.99,0,4.40E-05,101.131,0.49523,0.50477,287253.7085,2.0018,2.00E-06,49956209.51,49.9562,248877.5604,24.8902
Netgen_n10000_d0.01_c1000000_3,Netgen,11128733,11128733,11128733,11128733,11128733,11128733,11128733,0.04,0.03,0.03,0.002,10107,176,153,10003,10000,999900,0.01,5003.0945,99.99,0,2.20E-05,85.4191,0.49585,0.50415,287088.0827,1.9988,2.00E-06,50030945.28,50.0309,253250.9977,25.3276
Netgen_n10000_d0.01_c1000000_4,Netgen,30187086,30187086,30187086,30187086,30187086,30187086,30187086,0.07,0.03,0.04,0.003,11384,627,601,11526,10000,999900,0.01,4988.937,99.99,0,6.10E-05,107.4307,0.50384,0.49616,287530.4199,2.0044,2.00E-06,49889369.65,49.8894,251573.7641,25.1599
Netgen_n10000_d0.01_c1000000_5,Netgen,25138137,25138137,25138137,25138137,25138137,25138137,25138137,0.04,0.03,0.03,0.002,10826,453,379,10624,10000,999900,0.01,5015.3846,99.99,0,5.00E-05,97.7662,0.49615,0.50385,287588.7694,1.9939,2.00E-06,50153846.37,50.1538,252242.1011,25.2267
Netgen_n10000_d0.01_c10000000_1,Netgen,91785038,91785038,91785038,91785038,91785038,91785038,91785038,0.04,0.03,0.03,0.002,10130,206,183,10144,10000,999900,0.01,49465.1613,99.99,0,1.90E-05,107.787,0.50071,0.49929,2903351.35,2.0216,2.00E-06,494651612.9,49.4652,254499.6853,25.4525
Netgen_n10000_d0.01_c10000000_2,Netgen,134899309,134899309,134899309,134899309,134899309,134899309,134899309,0.04,0.03,0.03,0.002,10278,251,229,10313,10000,999900,0.01,49496.8808,99.99,0,2.70E-05,121.0867,0.50157,0.49843,2895678.252,2.0203,5.00E-06,494968807.9,49.4969,250466.3088,25.0491
Netgen_n10000_d0.01_c10000000_3,Netgen,367792298,367792298,367792298,367792298,367792298,367792298,367792298,0.04,0.03,0.03,0.003,11452,642,554,11821,10000,999900,0.01,49580.026,99.99,0,7.40E-05,83.5839,0.50032,0.49968,2906535.24,2.0169,1.00E-06,495800260.3,49.5802,252597.174,25.2622
Netgen_n10000_d0.01_c10000000_4,Netgen,248698631,248698631,248698631,248698631,248698631,248698631,248698631,0.04,0.03,0.03,0.002,10983,475,398,11464,10000,999900,0.01,49566.8968,99.99,0,5.00E-05,97.6643,0.50054,0.49946,2901682.187,2.0175,2.00E-06,495668968.4,49.5669,251918.3266,25.1944
Netgen_n10000_d0.01_c10000000_5,Netgen,274871618,274871618,274871618,274871618,274871618,274871618,274871618,0.07,0.03,0.04,0.002,11484,506,461,11605,10000,999900,0.01,49483.2213,99.99,0,5.60E-05,102.1844,0.50097,0.49903,2907527.156,2.0209,2.00E-06,494832213.4,49.4833,254910.3336,25.4936
Netgen_n10000_d0.10_c1000_1,Netgen,800021,800021,800021,800021,800021,800021,800021,0.94,0.26,0.3,0.073,32212,11635,11671,29755,10000,9999000,0.1,111.5994,999.9,0,7.20E-05,504.9923,0.999,0.001,19457.3091,551.9779,0.000896,1115993.876,1.8117,1117152.518,111.7264
Netgen_n10000_d0.10_c1000_2,Netgen,653922,653922,653922,653922,653922,653922,653922,1.13,0.23,0.38,0.126,37398,9299,14597,37450,10000,9999000,0.1,64.6139,999.9,425676,0.000167,1128.9824,0.64539,0.35461,4614.4109,226.2688,0.001548,646138.529,4.4195,1924658.407,192.4851
Netgen_n10000_d0.10_c1000_3,Netgen,843303,843303,843303,843303,843303,843303,843303,0.88,0.25,0.29,0.071,27653,12278,11040,27520,10000,9999000,0.1,100.0009,999.9,0,8.40E-05,776.7655,0.999,0.001,15791.087,499.9956,0.001,1000008.81,2,1242489.819,124.2614
Netgen_n10000_d0.10_c1000_4,Netgen,807788,807788,807788,807788,807788,807788,807788,0.83,0.26,0.3,0.073,21807,12054,11921,32755,10000,9999000,0.1,116.8366,999.9,0,6.90E-05,416.5686,0.999,0.001,21114.2846,572.1075,0.000856,1168366.098,1.7479,1067263.757,106.737
Netgen_n10000_d0.10_c1000_5,Netgen,595987,595987,595987,595987,595987,595987,595987,0.83,0.2,0.23,0.049,19343,7794,7914,22574,10000,9999000,0.1,107.337,999.9,0,5.60E-05,77.4431,0.999,0.001,18107.3686,534.104,0.000932,1073369.681,1.8723,1142077.181,114.2191
Netgen_n10000_d0.10_c10000_1,Netgen,933560,933560,933560,933560,933560,933560,933560,0.27,0.07,0.08,0.002,7913,772,910,6265,10000,9999000,0.1,580.1928,999.9,0,1.60E-05,149.1566,0.57946,0.42054,25472.8651,138.8676,0.000172,5801928.105,7.2011,2161548.66,216.1765
Netgen_n10000_d0.10_c10000_2,Netgen,3862126,3862126,3862126,3862126,3862126,3862126,3862126,0.35,0.14,0.16,0.003,14986,4588,4320,11677,10000,9999000,0.1,549.6257,999.9,0,7.00E-05,943.5891,0.54892,0.45108,15909.9338,90.971,0.000182,5496256.688,10.9925,2300728.836,230.0959
Netgen_n10000_d0.10_c10000_3,Netgen,5732371,5732371,5732371,5732371,5732371,5732371,5732371,1.11,0.19,0.34,0.116,35379,8064,11980,30303,10000,9999000,0.1,574.6903,999.9,4172670,0.000172,1085.7571,0.57406,0.42594,23792.2278,130.8809,0.000174,5746903.407,7.6405,2158210.731,215.8427
Netgen_n10000_d0.10_c10000_4,Netgen,5323555,5323555,5323555,5323555,5323555,5323555,5323555,1.05,0.19,0.25,0.113,25248,7402,7534,26514,10000,9999000,0.1,549.7183,999.9,1802573,0.00013,1020.7136,0.54904,0.45096,15910.0467,90.9557,0.000182,5497182.923,10.9944,2276068.398,227.6296
Netgen_n10000_d0.10_c10000_5,Netgen,1956314,1956314,1956314,1956314,1956314,1956314,1956314,0.32,0.11,0.13,0.003,11602,2242,2132,9188,10000,9999000,0.1,536.9301,999.9,0,3.60E-05,919.4721,0.53672,0.46328,12037.6687,69.7921,0.000186,5369301.038,14.3283,2346365.917,234.6601
Netgen_n10000_d0.10_c100000_1,Netgen,49560505,49560505,49560505,49560505,49560505,49560505,49560505,1.04,0.16,0.18,0.066,23801,6704,6284,17155,10000,9999000,0.1,5070.8645,999.9,10550853,0.000119,989.6336,0.50647,0.49353,36477.7186,14.9096,2.00E-05,50708644.78,67.071,2461737.228,246.1983
Netgen_n10000_d0.10_c100000_2,Netgen,48135891,48135891,48135891,48135891,48135891,48135891,48135891,1.11,0.16,0.33,0.043,36286,6955,11526,14635,10000,9999000,0.1,5026.1253,999.9,48272127,0.000192,983.4307,0.50214,0.49786,30050.1704,6.268,2.00E-05,50261253.14,159.5413,2491930.608,249.218
Netgen_n10000_d0.10_c100000_3,Netgen,48114045,48114045,48114045,48114045,48114045,48114045,48114045,1.02,0.16,0.19,0.11,21268,6521,6146,19245,10000,9999000,0.1,5087.4036,999.9,7541520,0.000109,1028.4637,0.50843,0.49157,40143.8306,18.3368,2.00E-05,50874036.23,54.5353,2459798.606,246.0045
Netgen_n10000_d0.10_c100000_4,Netgen,9320598,9320598,9320598,9320598,9320598,9320598,9320598,0.27,0.07,0.08,0.002,7848,1119,1030,6229,10000,9999000,0.1,4998.3998,999.9,0,1.90E-05,1008.2152,0.50032,0.49968,28859.8459,2.0006,2.00E-05,49983998.36,499.84,2500449.063,250.0699
Netgen_n10000_d0.10_c100000_5,Netgen,50418984,50418984,50418984,50418984,50418984,50418984,50418984,1.09,0.16,0.27,0.042,28951,7044,8506,14424,10000,9999000,0.1,5036.0859,999.9,26181955,0.000152,997.4945,0.50315,0.49685,31091.0893,8.275,2.00E-05,50360858.69,120.8462,2480184.247,248.0432
Netgen_n10000_d0.10_c1000000_1,Netgen,496996930,496996930,496996930,496996930,496996930,496996930,496996930,1.16,0.17,0.35,0.056,36995,7056,13093,19942,10000,9999000,0.1,49993.9714,999.9,483727486,0.000196,998.3168,0.5006,0.4994,288510.9084,2.0002,2.00E-06,499939714.3,499.9397,2525556.243,252.5809
Netgen_n10000_d0.10_c1000000_2,Netgen,495429873,495429873,495429873,495429873,495429873,495429873,495429873,1.06,0.16,0.33,0.061,32678,7034,11898,21562,10000,9999000,0.1,49992.4108,999.9,489695682,0.000197,995.8564,0.50054,0.49946,288574.4925,2.0003,2.00E-06,499924108.5,499.9241,2506147.941,250.6399
Netgen_n10000_d0.10_c1000000_3,Netgen,439605018,439605018,439605018,439605018,439605018,439605018,439605018,0.36,0.15,0.18,0.004,16645,5746,5326,13696,10000,9999000,0.1,49952.0147,999.9,0,8.80E-05,976.1596,0.50024,0.49976,288881.2866,2.0019,2.00E-06,499520147.4,499.5201,2497566.034,249.7816
Netgen_n10000_d0.10_c1000000_4,Netgen,493553300,493553300,493553300,493553300,493553300,493553300,493553300,1.13,0.16,0.32,0.042,35995,7069,10416,15253,10000,9999000,0.1,49983.5102,999.9,385086052,0.000176,1013.9142,0.50039,0.49961,288487.0775,2.0007,2.00E-06,499835101.8,499.8351,2509979.901,251.0231
Netgen_n10000_d0.10_c1000000_5,Netgen,49676747,49676747,49676747,49676747,49676747,49676747,49676747,0.22,0.05,0.06,0.001,4767,586,516,3666,10000,9999000,0.1,50021.4773,999.9,0,1.00E-05,976.7408,0.49962,0.50038,288643.7015,1.9991,2.00E-06,500214772.8,500.2148,2504218.377,250.4469
Netgen_n10000_d0.10_c10000000_1,Netgen,3967859674,3967859674,3967859674,3967859674,3967859674,3967859674,3967859674,0.35,0.14,0.16,0.003,16317,5081,4770,13758,10000,9999000,0.1,499040.2552,999.9,0,8.00E-05,1020.9887,0.50015,0.49985,2887308.645,2.0038,0,4990402552,499.0403,2524778.528,252.5031
Netgen_n10000_d0.10_c10000000_2,Netgen,1410106246,1410106246,1410106246,1410106246,1410106246,1410106246,1410106246,0.3,0.09,0.1,0.003,10662,1683,1524,10309,10000,9999000,0.1,499085.252,999.9,0,2.80E-05,962.728,0.50023,0.49977,2887787.257,2.0037,0,4990852520,499.0853,2457184.622,245.743
Netgen_n10000_d0.10_c10000000_3,Netgen,5113443155,5113443155,5113443155,5113443155,5113443155,5113443155,5113443155,1.02,0.16,0.19,0.049,21880,7075,6754,15417,10000,9999000,0.1,499094.2795,999.9,395661122,0.00011,1007.5223,0.50026,0.49974,2886627.616,2.0036,0,4990942795,499.0943,2506531.517,250.6782
Netgen_n10000_d0.10_c10000000_4,Netgen,222091455,222091455,222091455,222091455,222091455,222091455,222091455,0.23,0.04,0.04,0.002,5411,240,236,6087,10000,9999000,0.1,499096.9619,999.9,0,4.00E-06,1011.271,0.5001,0.4999,2888192.992,2.0036,0,4990969619,499.097,2505099.051,250.535
Netgen_n10000_d0.10_c10000000_5,Netgen,5473096196,5473096196,5473096196,5473096196,5473096196,5473096196,5473096196,1.02,0.16,0.22,0.064,24218,7375,7485,19923,10000,9999000,0.1,499194.1715,999.9,1387641894,0.000137,969.3057,0.50036,0.49964,2887137.698,2.0032,0,4991941715,499.1942,2533274.346,253.3528
Netgen_n10000_d0.20_c1000_1,Netgen,1359827,1359827,1359827,1359827,1359827,1359827,1359827,1.8,0.44,0.53,0.111,36438,17870,15483,29036,10000,19998000,0.2,141.1942,1999.8,0,9.60E-05,1981.3122,0.70457,0.29543,9188.7634,582.6218,0.001417,1411941.733,3.4328,3551789.74,355.2145
Netgen_n10000_d0.20_c1000_2,Netgen,595931,595931,595931,595931,595931,595931,595931,0.7,0.24,0.29,0.003,15131,5449,5342,11109,10000,19998000,0.2,150.746,1999.8,0,4.00E-05,450.2707,0.75247,0.24753,11325.9701,672.5883,0.001327,1507459.98,2.9736,3297258.949,329.7589
Netgen_n10000_d0.20_c1000_3,Netgen,1265468,1265468,1265468,1265468,1265468,1265468,1265468,1.83,0.4,0.48,0.085,32188,16469,15880,25456,10000,19998000,0.2,173.4196,1999.8,0,7.30E-05,1484.2224,0.86646,0.13354,16389.1362,845.8998,0.001153,1734196.012,2.3643,2926625.755,292.6918
Netgen_n10000_d0.20_c1000_4,Netgen,1241451,1241451,1241451,1241451,1241451,1241451,1241451,1.71,0.41,0.47,0.089,31290,16012,13881,25688,10000,19998000,0.2,150.0399,1999.8,0,8.30E-05,1796.0906,0.74969,0.25031,11170.6441,666.4894,0.001333,1500398.914,3.0008,3318305.828,331.8638
Netgen_n10000_d0.20_c1000_5,Netgen,1962795,1962795,1962795,1962795,1962795,1962795,1962795,1.99,0.52,0.65,0.152,57381,27739,22800,38670,10000,19998000,0.2,194.0201,1999.8,0,0.000101,2049.3499,0.96956,0.030445,20994.941,968.479,0.001031,1940201.022,2.0651,2582446.505,258.2705
Netgen_n10000_d0.20_c10000_1,Netgen,10478486,10478486,10478486,10478486,10478486,10478486,10478486,2.3,0.37,0.71,0.227,62145,13536,21925,38219,10000,19998000,0.2,1049.6526,1999.8,9467335,0.00019,2058.5738,0.52451,0.47549,11436.3879,95.2696,0.000191,10496526.44,20.9931,4717784.638,471.8256
Netgen_n10000_d0.20_c10000_2,Netgen,10285121,10285121,10285121,10285121,10285121,10285121,10285121,2,0.36,0.4,0.217,35073,13337,12254,28437,10000,19998000,0.2,1049.4577,1999.8,3570365,0.000132,2049.1286,0.52449,0.47551,11436.3922,95.2873,0.000191,10494577.31,20.9892,4756200.541,475.6676
Netgen_n10000_d0.20_c10000_3,Netgen,10364238,10364238,10364238,10364238,10364238,10364238,10364238,2.2,0.37,0.65,0.216,50828,13354,18358,37134,10000,19998000,0.2,1061.4942,1999.8,7066799,0.000164,2061.0961,0.53046,0.46954,14038.4264,116.729,0.000188,10614941.83,17.1337,4644543.229,464.5008
Netgen_n10000_d0.20_c10000_4,Netgen,3640692,3640692,3640692,3640692,3640692,3640692,3640692,0.58,0.19,0.21,0.002,10694,4050,3760,7064,10000,19998000,0.2,1001.5224,1999.8,0,3.60E-05,1999.9858,0.50064,0.49936,2905.3096,4.0143,0.0002,10015223.56,498.2203,4941900.341,494.2395
Netgen_n10000_d0.20_c10000_5,Netgen,10436337,10436337,10436337,10436337,10436337,10436337,10436337,1.91,0.35,0.39,0.211,26527,13158,11747,21992,10000,19998000,0.2,1049.7761,1999.8,1250488,0.000111,1968.2946,0.52439,0.47561,11436.3958,95.2584,0.000191,10497761.1,20.9955,4736190.394,473.6664
Netgen_n10000_d0.20_c100000_1,Netgen,95645209,95645209,95645209,95645209,95645209,95645209,95645209,2.17,0.34,0.61,0.072,49398,12415,16392,15641,10000,19998000,0.2,10045.5183,1999.8,63417220,0.000158,1989.6822,0.50212,0.49788,30564.5322,9.9547,2.00E-05,100455183.5,200.9104,4975076.055,497.5574
Netgen_n10000_d0.20_c100000_2,Netgen,105145181,105145181,105145181,105145181,105145181,105145181,105145181,2.21,0.35,0.39,0.169,54019,13544,12560,30969,10000,19998000,0.2,10093.9874,1999.8,83803873,0.000187,2013.845,0.50433,0.49567,35612.7183,19.4834,2.00E-05,100939874,102.6515,4993533.46,499.4033
Netgen_n10000_d0.20_c100000_3,Netgen,100206126,100206126,100206126,100206126,100206126,100206126,100206126,2.23,0.36,0.69,0.07,56324,12802,20231,15643,10000,19998000,0.2,10025.7316,1999.8,86976217,0.000187,1996.0663,0.5011,0.4989,29487.7167,6.4206,2.00E-05,100257316.1,311.4984,4972739.549,497.3237
Netgen_n10000_d0.20_c100000_4,Netgen,101451887,101451887,101451887,101451887,101451887,101451887,101451887,2.1,0.34,0.38,0.091,42151,12975,12037,18606,10000,19998000,0.2,10051.736,1999.8,49985578,0.000151,2008.1623,0.50226,0.49774,30968.8324,10.9911,2.00E-05,100517359.7,181.9655,4933279.275,493.3773
Netgen_n10000_d0.20_c100000_5,Netgen,72814019,72814019,72814019,72814019,72814019,72814019,72814019,0.69,0.27,0.32,0.004,17421,8556,7900,11359,10000,19998000,0.2,10014.3326,1999.8,0,7.30E-05,1943.479,0.5006,0.4994,29052.1978,3.997,2.00E-05,100143325.7,500.3714,5030097.166,503.06
Netgen_n10000_d0.20_c1000000_1,Netgen,955332889,955332889,955332889,955332889,955332889,955332889,955332889,2.75,0.34,0.37,0.095,28612,12206,11359,17153,10000,19998000,0.2,100000.574,1999.8,234916311,0.000119,1984.7042,0.49981,0.50019,288626.1957,2,2.00E-06,1000005740,1000.0057,4987790.867,498.829
Netgen_n10000_d0.20_c1000000_2,Netgen,1006904788,1006904788,1006904788,1006904788,1006904788,1006904788,1006904788,3.13,0.35,0.65,0.22,55348,13230,18795,35393,10000,19998000,0.2,99982.3337,1999.8,769965820,0.000178,1993.956,0.49983,0.50017,288618.039,2.0004,2.00E-06,999823336.9,999.8233,4956386.016,495.6882
Netgen_n10000_d0.20_c1000000_3,Netgen,667247428,667247428,667247428,667247428,667247428,667247428,667247428,1.01,0.26,0.3,0.003,16413,7941,7450,10577,10000,19998000,0.2,100007.6731,1999.8,0,6.70E-05,2008.5392,0.50002,0.49998,288694.173,1.9998,2.00E-06,1000076731,1000.0767,4994386.203,499.4886
Netgen_n10000_d0.20_c1000000_4,Netgen,325584538,325584538,325584538,325584538,325584538,325584538,325584538,0.86,0.18,0.21,0.002,10397,3792,3497,7442,10000,19998000,0.2,99975.9629,1999.8,0,3.30E-05,2032.8446,0.50026,0.49974,288612.5918,2.0005,2.00E-06,999759629.2,999.7596,5017281.231,501.7783
Netgen_n10000_d0.20_c1000000_5,Netgen,370383581,370383581,370383581,370383581,370383581,370383581,370383581,0.59,0.2,0.22,0.003,11873,4325,3967,9239,10000,19998000,0.2,99960.1838,1999.8,0,3.70E-05,1991.8091,0.5001,0.4999,288680.032,2.0008,2.00E-06,999601838.4,999.6018,5063176.424,506.3683
Netgen_n10000_d0.20_c10000000_1,Netgen,9853967786,9853967786,9853967786,9853967786,9853967786,9853967786,9853967786,1.99,0.34,0.35,0.207,24777,12945,11772,20855,10000,19998000,0.2,998533.7221,1999.8,651941266,0.000105,2013.2655,0.5002,0.4998,2886319.178,2.0029,0,9985337221,998.5338,5056455.447,505.6961
Netgen_n10000_d0.20_c10000000_2,Netgen,10050982589,10050982589,10050982589,10050982589,10050982589,10050982589,10050982589,2.57,0.34,0.38,0.073,42322,13195,12342,18293,10000,19998000,0.2,998791.7289,1999.8,4778399628,0.000149,2010.09,0.50014,0.49986,2886237.486,2.0024,0,9987917289,998.7917,5047145.602,504.765
Netgen_n10000_d0.20_c10000000_3,Netgen,9217960501,9217960501,9217960501,9217960501,9217960501,9217960501,9217960501,2.71,0.35,0.74,0.099,62271,12433,25176,24875,10000,19998000,0.2,998573.9191,1999.8,10289253123,0.000195,1988.6051,0.50016,0.49984,2886952,2.0029,0,9985739191,998.5739,5046524.926,504.703
Netgen_n10000_d0.20_c10000000_4,Netgen,10081018677,10081018677,10081018677,10081018677,10081018677,10081018677,10081018677,2.76,0.35,0.63,0.07,46447,13444,19123,19166,10000,19998000,0.2,998506.1639,1999.8,7498328000,0.000176,2021.8704,0.50022,0.49978,2886439.006,2.003,0,9985061639,998.5062,4909866.561,491.0358
Netgen_n10000_d0.20_c10000000_5,Netgen,8428552632,8428552632,8428552632,8428552632,8428552632,8428552632,8428552632,0.89,0.28,0.34,0.004,20513,10427,9573,14934,10000,19998000,0.2,998764.1206,1999.8,0,8.40E-05,1999.2249,0.50016,0.49984,2887235.56,2.0025,0,9987641206,998.7641,5061895.019,506.2401
Netgen_n10000_d0.30_c1000_1,Netgen,683849,683849,683849,683849,683849,683849,683849,1.07,0.32,0.36,0.003,13252,6991,6722,8571,10000,29997000,0.3,203.3075,2999.7,0,3.40E-05,927.5821,0.6767,0.3233,9704.4126,784.8111,0.001476,2033075.3,3.8226,5549204.655,554.976
Netgen_n10000_d0.30_c1000_2,Netgen,873345,873345,873345,873345,873345,873345,873345,1.14,0.36,0.42,0.003,16272,8640,7627,10530,10000,29997000,0.3,204.5965,2999.7,0,4.30E-05,1508.7163,0.68069,0.31931,9939.3846,798.7482,0.001466,2045965.121,3.7559,5483529.699,548.4078
Netgen_n10000_d0.30_c1000_3,Netgen,2163837,2163837,2163837,2163837,2163837,2163837,2163837,3.99,0.77,1.23,0.41,80680,26818,32863,62607,10000,29997000,0.3,221.8296,2999.7,1027900,0.000144,3442.9643,0.73862,0.26138,13086.7948,969.9376,0.001352,2218296.385,3.093,5056508.313,505.7014
Netgen_n10000_d0.30_c1000_4,Netgen,2179572,2179572,2179572,2179572,2179572,2179572,2179572,3.89,0.74,0.91,0.323,64464,25437,23960,38972,10000,29997000,0.3,217.045,2999.7,364707,0.000117,3222.4544,0.72288,0.27712,12218.3803,925.5499,0.001382,2170450.277,3.2413,5140394.262,514.0908
Netgen_n10000_d0.30_c1000_5,Netgen,2001603,2001603,2001603,2001603,2001603,2001603,2001603,3.03,0.64,0.76,0.135,44842,25508,22084,32350,10000,29997000,0.3,243.8838,2999.7,0,8.20E-05,2655.1785,0.81167,0.18833,17111.2996,1153.4605,0.00123,2438837.655,2.6009,4608182.209,460.8643
Netgen_n10000_d0.30_c10000_1,Netgen,14931209,14931209,14931209,14931209,14931209,14931209,14931209,3.62,0.53,0.58,0.097,51055,17817,16908,16991,10000,29997000,0.3,1499.9714,2999.7,6404599,0.000142,3017.1336,0.49999,0.50001,2886.497,2,0.0002,14999714.47,1499.9714,7527082.606,752.7835
Netgen_n10000_d0.30_c10000_2,Netgen,15658340,15658340,15658340,15658340,15658340,15658340,15658340,3.72,0.55,0.79,0.322,54976,18694,20228,32611,10000,29997000,0.3,1549.8207,2999.7,7398405,0.000149,2988.9406,0.51635,0.48365,9486.263,96.7854,0.000194,15498206.74,30.9964,7305830.925,730.6562
Netgen_n10000_d0.30_c10000_3,Netgen,15338129,15338129,15338129,15338129,15338129,15338129,15338129,3.56,0.56,0.69,0.149,51716,18538,18482,21095,10000,29997000,0.3,1562.0436,2999.7,6616519,0.000141,3054.1372,0.52053,0.47947,11677.7574,120.0055,0.000192,15620436.38,24.9989,7259845.16,726.0571
Netgen_n10000_d0.30_c10000_4,Netgen,12002622,12002622,12002622,12002622,12002622,12002622,12002622,1.14,0.41,0.49,0.004,21227,13837,12775,12030,10000,29997000,0.3,1549.815,2999.7,0,7.70E-05,2977.8062,0.51639,0.48361,9486.0404,96.7857,0.000194,15498150.1,30.9963,7229442.08,723.0165
