Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
Netgen_n20000_d0.20_c10000000_1(tgen),Netgen,6.925,1.79,2.152,0.376,20000,79996000,3999.8,999.0037,0.57559,0.1998
Netgen_n20000_d0.20_c10000000_3(tgen),Netgen,1.783,1.168,1.319,0.013,20000,79996000,3999.8,989.8129,0.57211,0.19977
Netgen_n20000_d0.20_c100000_1(tgen),Netgen,6.64,2.012,3.491,0.387,20000,79996000,3999.8,990.4159,0.57293,0.040086
Netgen_n20000_d0.20_c100000_2(tgen),Netgen,5.806,1.79,2.031,0.379,20000,79996000,3999.8,1003.5629,0.58108,0.023812
Netgen_n20000_d0.20_c100000_3(tgen),Netgen,2.161,1.481,1.872,0.012,20000,79996000,3999.8,993.161,0.57494,0.048693
Netgen_n20000_d0.20_c100000_4(tgen),Netgen,1.704,1.065,1.302,0.008,20000,79996000,3999.8,1001.132,0.57955,0.034722
Netgen_n20000_d0.20_c10000_1(tgen),Netgen,7.517,2.062,3.503,0.767,20000,79996000,3999.8,989.4679,0.57877,0.007753
Netgen_n20000_d0.20_c10000_2(tgen),Netgen,1.382,0.838,0.978,0.005,20000,79996000,3999.8,966.656,0.57977,0.002576
Netgen_n20000_d0.20_c10000_4(tgen),Netgen,7.221,1.915,3.462,0.51,20000,79996000,3999.8,974.5662,0.57683,0.004099
Netgen_n20000_d0.20_c10000_5(tgen),Netgen,1.263,0.722,0.822,0.004,20000,79996000,3999.8,977.5809,0.57895,0.0041
Netgen_n20000_d0.20_c1000_1(tgen),Netgen,7.532,2.035,3.792,1.05,20000,79996000,3999.8,950.0188,0.58654,0.001544
Netgen_n20000_d0.20_c1000_2(tgen),Netgen,6.792,2.167,2.529,0.379,20000,79996000,3999.8,814.7642,0.57523,0.000549
Netgen_n20000_d0.30_c10000000_1(tgen),Netgen,11.96,2.989,4.224,0.537,20000,119994000,5999.7,1503.0994,0.5783,0.29968
Netgen_n20000_d0.30_c10000000_3(tgen),Netgen,2.922,2.139,2.425,0.014,20000,119994000,5999.7,1500.6976,0.57769,0.2997
Netgen_n20000_d0.30_c100000_1(tgen),Netgen,1.782,1.156,1.242,0.005,20000,119994000,5999.7,1493.6585,0.5762,0.03321
Netgen_n20000_d0.30_c100000_3(tgen),Netgen,3.254,2.198,2.72,0.013,20000,119994000,5999.7,1492.0131,0.57666,0.040977
Netgen_n20000_d0.30_c10000_1(tgen),Netgen,2.386,1.626,1.815,0.01,20000,119994000,5999.7,1497.2991,0.58036,0.014652
Netgen_n20000_d0.30_c10000_2(tgen),Netgen,1.913,1.191,1.271,0.006,20000,119994000,5999.7,1475.5694,0.57785,0.006443
Netgen_n20000_d0.30_c10000_3(tgen),Netgen,2.925,2.091,2.811,0.016,20000,119994000,5999.7,1470.6744,0.57356,0.00829
Netgen_n20000_d0.30_c10000_4(tgen),Netgen,10.838,3.18,5.843,1.72,20000,119994000,5999.7,1464.4763,0.57245,0.006099
Netgen_n20000_d0.30_c10000_5(tgen),Netgen,10.233,2.824,2.981,0.064,20000,119994000,5999.7,1453.5698,0.57691,0.003258
Netgen_n20000_d0.30_c1000_1(tgen),Netgen,3.289,2.278,2.662,0.012,20000,119994000,5999.7,1431.2972,0.57644,0.002237
Netgen_n20000_d0.30_c1000_2(tgen),Netgen,2.264,1.585,1.567,0.008,20000,119994000,5999.7,1288.8918,0.57874,0.0007
Netgen_n20000_d0.30_c1000_3(tgen),Netgen,11.757,3.469,4.507,1.76,20000,119994000,5999.7,1281.5147,0.57481,0.0007
Netgen_n20000_d0.40_c100000_5(tgen),Netgen,4.034,2.797,3.111,0.012,20000,159992000,7999.6,1995.0809,0.57806,0.057231
Netgen_n20000_d0.40_c10000_1(tgen),Netgen,14.715,4.304,8.419,2.318,20000,159992000,7999.6,1971.485,0.57538,0.0081
Netgen_n20000_d0.40_c10000_2(tgen),Netgen,4.513,3.047,4.453,0.016,20000,159992000,7999.6,1982.9233,0.57656,0.012539
Netgen_n20000_d0.40_c10000_3(tgen),Netgen,15.377,4.108,6.2,1.039,20000,159992000,7999.6,1990.8395,0.58027,0.011537
Netgen_n20000_d0.40_c10000_4(tgen),Netgen,2.311,1.489,1.524,0.006,20000,159992000,7999.6,1996.641,0.58209,0.009829
Netgen_n20000_d0.40_c10000_5(tgen),Netgen,2.267,1.412,1.921,0.006,20000,159992000,7999.6,1956.2869,0.57871,0.004236
Netgen_n20000_d0.40_c1000_1(tgen),Netgen,2.762,1.654,2.115,0.007,20000,159992000,7999.6,1922.4695,0.57491,0.002851
Netgen_n20000_d0.40_c1000_2(tgen),Netgen,4.188,2.894,3.696,0.014,20000,159992000,7999.6,1780.8827,0.57832,0.000901
Netgen_n20000_d0.40_c1000_3(tgen),Netgen,15.989,4.599,5.13,2.203,20000,159992000,7999.6,1778.0853,0.57739,0.000901
Netgen_n20000_d0.50_c10000000_1(tgen),Netgen,24.13,5.623,5.882,0.979,20000,199990000,9999.5,2489.9816,0.57487,0.4995
Netgen_n20000_d0.50_c10000_2(tgen),Netgen,22.626,5.449,5.951,2.675,20000,199990000,9999.5,2491.6719,0.57828,0.017739
Netgen_n20000_d0.50_c10000_3(tgen),Netgen,4.38,2.686,3.307,0.01,20000,199990000,9999.5,2467.6648,0.57462,0.013671
Netgen_n20000_d0.50_c10000_4(tgen),Netgen,20.421,6.162,8.265,2.848,20000,199990000,9999.5,2460.206,0.57721,0.00674
Netgen_n20000_d0.50_c10000_5(tgen),Netgen,4.032,2.639,3.374,0.011,20000,199990000,9999.5,2483.0175,0.57972,0.007791
Netgen_n20000_d0.60_c10000000_4(tgen),Netgen,5.92,4.056,5.388,0.018,20000,239988000,11999.4,2863.964,0.54189,0.59944
Netgen_n20000_d0.60_c10000_1(tgen),Netgen,3.81,2.272,2.628,0.009,20000,239988000,11999.4,2853.0359,0.54476,0.010062
Netgen_n20000_d0.60_c1000_1(tgen),Netgen,22.588,6.992,11.389,1.814,20000,239988000,11999.4,2746.5823,0.54504,0.002104
Netgen_n20000_d0.60_c1000_2(tgen),Netgen,4.603,3.297,4.058,0.011,20000,239988000,11999.4,2684.0978,0.54798,0.001301
Netgen_n20000_d0.60_c1000_4(tgen),Netgen,27.822,6.984,7.996,3.378,20000,239988000,11999.4,2476.9127,0.54531,0.000708
Netgen_n20000_d0.70_c10000000_2(tgen),Netgen,33.01,8.098,9.279,1.374,20000,279986000,13999.3,2937.0286,0.4744,0.69931
Netgen_n20000_d0.70_c10000_1(tgen),Netgen,40.555,8.635,9.884,1.653,20000,279986000,13999.3,2932.4709,0.47691,0.009284
Netgen_n20000_d0.70_c10000_3(tgen),Netgen,27.751,7.879,9.738,3.925,20000,279986000,13999.3,2890.8878,0.47215,0.007312
Netgen_n20000_d0.70_c10000_4(tgen),Netgen,3.789,2.195,2.385,0.009,20000,279986000,13999.3,2926.3415,0.47524,0.014101
Netgen_n20000_d0.70_c1000_1(tgen),Netgen,29.517,8.843,9.512,3.908,20000,279986000,13999.3,2748.3697,0.47438,0.001501
Netgen_n20000_d0.70_c1000_2(tgen),Netgen,5.704,3.698,4.42,0.012,20000,279986000,13999.3,2770.9066,0.47281,0.00188
Netgen_n20000_d0.80_c10000000_1(tgen),Netgen,6.653,4.229,5.373,0.019,20000,319984000,15999.2,2561.4864,0.38312,0.79929
Netgen_n20000_d0.80_c10000_1(tgen),Netgen,6.427,3.663,4.482,0.015,20000,319984000,15999.2,2545.8271,0.38331,0.016102
Netgen_n20000_d0.80_c10000_3(tgen),Netgen,33.93,9.623,10.779,4.669,20000,319984000,15999.2,2553.8625,0.38196,0.039405
Netgen_n20000_d0.80_c10000_4(tgen),Netgen,53.759,9.136,10.07,4.81,20000,319984000,15999.2,2545.0026,0.38194,0.0161
Netgen_n20000_d0.80_c10000_5(tgen),Netgen,6.558,4.553,4.332,0.013,20000,319984000,15999.2,2547.2003,0.38185,0.019687
Netgen_n20000_d0.80_c1000_3(tgen),Netgen,9.358,5.81,8.268,0.017,20000,319984000,15999.2,2456.3501,0.38108,0.002585
Netgen_n20000_d0.80_c1000_4(tgen),Netgen,33.047,9.214,10.941,4.603,20000,319984000,15999.2,2488.002,0.38213,0.003298
Netgen_n20000_d0.80_c1000_5(tgen),Netgen,30.405,8.466,9.788,4.52,20000,319984000,15999.2,2523.5821,0.38051,0.008119
Netgen_n20000_d0.90_c10000000_1(tgen),Netgen,31.12,10.985,10.632,2.088,20000,359982000,17999.1,1621.0116,0.26469,0.89919
Netgen_n20000_d0.90_c10000000_3(tgen),Netgen,5.288,2.421,2.49,0.009,20000,359982000,17999.1,1617.1616,0.26463,0.89917
Netgen_n20000_d0.90_c10000_1(tgen),Netgen,29.786,10.98,10.324,4.766,20000,359982000,17999.1,1609.5682,0.26474,0.012055
Netgen_n20000_d0.90_c10000_2(tgen),Netgen,28.592,9.478,11.07,5.663,20000,359982000,17999.1,1604.115,0.2655,0.009351
Netgen_n20000_d0.90_c10000_3(tgen),Netgen,29.833,9.944,10.578,3.246,20000,359982000,17999.1,1613.3918,0.26504,0.031192
Netgen_n20000_d0.90_c10000_5(tgen),Netgen,7.229,3.877,5.059,0.025,20000,359982000,17999.1,1599.2106,0.26413,0.009597
Netgen_n20000_d0.90_c1000_1(tgen),Netgen,6.549,4.543,5.838,0.017,20000,359982000,17999.1,1532.8322,0.26462,0.001902
Netgen_n20000_d0.90_c1000_3(tgen),Netgen,7.748,5.151,5.985,0.014,20000,359982000,17999.1,1573.4822,0.26394,0.00389
Netgen_n20000_d0.90_c1000_5(tgen),Netgen,42.826,10.461,12.766,4.944,20000,359982000,17999.1,1535.0514,0.2652,0.001902
Netgen_n20000_d1_c10000000_1(tgen),Netgen,29.927,9.508,10.964,3.319,20000,399940002,19997.0001,46.2035,0.01,0.99902
Netgen_n20000_d1_c10000000_3(tgen),Netgen,11.632,8.163,9.107,0.024,20000,399940002,19997.0001,46.3521,0.01,0.99897
Netgen_n20000_d1_c10000_1(tgen),Netgen,26.309,7.572,10.619,0.053,20000,399940002,19997.0001,45.3436,0.01,0.020099
Netgen_n20000_d1_c10000_2(tgen),Netgen,32.165,9.854,10.183,5.258,20000,399940002,19997.0001,45.6445,0.01,0.0201
Netgen_n20000_d1_c10000_3(tgen),Netgen,26.006,7.104,9.874,0.032,20000,399940002,19997.0001,46.3634,0.01,0.046459
Netgen_n20000_d1_c10000_4(tgen),Netgen,10.975,7.007,9.934,0.022,20000,399940002,19997.0001,46.1088,0.01,0.036438
Netgen_n20000_d1_c10000_5(tgen),Netgen,29.742,9.312,9.15,6.314,20000,399940002,19997.0001,45.7856,0.01,0.064826
Netgen_n20000_d1_c1000_1(tgen),Netgen,30.607,8.411,9.209,0.091,20000,399940002,19997.0001,45.7556,0.01,0.005352
Netgen_n20000_d1_c1000_2(tgen),Netgen,27.97,10.877,11.313,6.798,20000,399940002,19997.0001,42.5555,0.01,0.001384
Netgen_n20000_d1_c1000_3(tgen),Netgen,27.971,9.749,9.882,7.061,20000,399940002,19997.0001,44.7886,0.01,0.003915
Netgen_n20000_d1_c1000_5(tgen),Netgen,26.32,8.464,10.869,0.167,20000,399940002,19997.0001,44.7685,0.01,0.003178
Netgen_n10000_d0.005_c1000000_1(Pool),Netgen,0.05,0.022,0.043,0.019,10000,499950,49.995,12.2648,0.5704,0.004995
Netgen_n10000_d0.007_c1000000_1(Pool),Netgen,0.077,0.03,0.057,0.016,10000,699930,69.993,17.5329,0.57672,0.006965
Netgen_n10000_d0.008_c1000000_1(Pool),Netgen,0.081,0.037,0.068,0.023,10000,799920,79.992,19.5781,0.56824,0.008001
Netgen_n10000_d0.012_c1000000_1(Pool),Netgen,0.04,0.028,0.032,0.003,10000,1199880,119.988,29.9863,0.57428,0.011969
Netgen_n10000_d0.014_c1000000_1(Pool),Netgen,0.123,0.038,0.065,0.022,10000,1399860,139.986,35.257,0.5818,0.014057
Netgen_n10000_d0.016_c1000000_1(Pool),Netgen,0.046,0.027,0.034,0.003,10000,1599840,159.984,39.967,0.57623,0.015938
Netgen_n10000_d0.018_c1000000_1(Pool),Netgen,0.167,0.044,0.051,0.025,10000,1799820,179.982,44.88,0.57576,0.018047
Netgen_n10000_d0.023_c1000000_1(Pool),Netgen,0.201,0.055,0.098,0.042,10000,2299770,229.977,57.4167,0.57435,0.022983
Netgen_n10000_d0.026_c1000000_1(Pool),Netgen,0.237,0.066,0.113,0.03,10000,2599740,259.974,64.3026,0.56642,0.025923
Netgen_n10000_d0.02_c1000000_1(Pool),Netgen,0.178,0.053,0.065,0.024,10000,1999800,199.98,50.2253,0.57832,0.019955
Netgen_n10000_d0.035_c1000000_1(Pool),Netgen,0.298,0.079,0.106,0.061,10000,3499650,349.965,87.4673,0.58012,0.035078
Netgen_n10000_d0.03_c1000000_1(Pool),Netgen,0.078,0.057,0.063,0.003,10000,2999700,299.97,73.8261,0.5731,0.030075
Netgen_n10000_d0.05_c1000000_1(Pool),Netgen,0.357,0.106,0.189,0.039,10000,4999500,499.95,124.9215,0.57786,0.050034
Netgen_n10000_d0.07_c1000000_1(Pool),Netgen,0.518,0.143,0.276,0.045,10000,6999300,699.93,176.6606,0.58168,0.069973
Netgen_n1000_d0.005_c1000000_1(Pool),Netgen,0,0,0,0,1000,4995,4.995,1.2827,0.60423,0.005114
Netgen_n1000_d0.007_c1000000_1(Pool),Netgen,0,0,0,0,1000,6993,6.993,1.8665,0.56222,0.007053
Netgen_n1000_d0.008_c1000000_1(Pool),Netgen,0,0,0,0,1000,7992,7.992,1.9165,0.59117,0.008798
Netgen_n1000_d0.012_c1000000_1(Pool),Netgen,0.001,0,0,0,1000,11988,11.988,2.9289,0.59123,0.012585
Netgen_n1000_d0.014_c1000000_1(Pool),Netgen,0.001,0,0,0,1000,13986,13.986,3.7842,0.55043,0.013141
Netgen_n1000_d0.016_c1000000_1(Pool),Netgen,0.001,0,0,0,1000,15984,15.984,4.1171,0.58616,0.015849
Netgen_n1000_d0.018_c1000000_1(Pool),Netgen,0.001,0,0,0,1000,17982,17.982,4.6151,0.57637,0.01805
Netgen_n1000_d0.023_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1000,22977,22.977,5.6951,0.5703,0.023546
Netgen_n1000_d0.026_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1000,25974,25.974,6.4628,0.59927,0.026908
Netgen_n1000_d0.02_c1000000_1(Pool),Netgen,0.001,0,0,0,1000,19980,19.98,5.1783,0.57354,0.020171
Netgen_n1000_d0.035_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1000,34965,34.965,8.8346,0.59136,0.035164
Netgen_n1000_d0.03_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1000,29970,29.97,7.6224,0.57017,0.029974
Netgen_n1000_d0.05_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1000,49950,49.95,12.6044,0.57566,0.050377
Netgen_n1000_d0.07_c1000000_1(Pool),Netgen,0.004,0.001,0.002,0,1000,69930,69.93,18.1882,0.59812,0.069951
Netgen_n1000_d0.50_c100_1(Pool),Netgen,0.48,0.164,0.233,0.12,1000,499500,499.5,5.1024,0.58181,0.002086
Netgen_n1000_d0.50_c10_1(Pool),Netgen,4.079,1.446,1.973,0.605,1000,499500,499.5,0.6901,0.58596,0.002013
Netgen_n1000_d0.50_c15_1(Pool),Netgen,1.977,0.956,0.963,0.439,1000,499500,499.5,1.1592,0.58437,0.002021
Netgen_n1000_d0.50_c30_1(Pool),Netgen,1.99,0.752,0.894,0.531,1000,499500,499.5,1.3176,0.58512,0.002023
Netgen_n1000_d0.50_c60_1(Pool),Netgen,0.139,0.053,0.066,0.022,1000,499500,499.5,17.3515,0.57344,0.002324
Netgen_n1000_d0.50_c80_1(Pool),Netgen,0.65,0.24,0.326,0.111,1000,499500,499.5,3.3679,0.5814,0.002057
Netgen_n1100_d0.50_c1000_1(Pool),Netgen,0.031,0.012,0.014,0.001,1100,604450,549.5,76.1538,0.56591,0.004216
Netgen_n1100_d0.50_c100_1(Pool),Netgen,0.436,0.131,0.183,0.048,1100,604450,549.5,7.8734,0.56052,0.001935
Netgen_n1100_d0.50_c10_1(Pool),Netgen,4.069,1.525,1.985,0.978,1100,604450,549.5,0.84383,0.58646,0.001831
Netgen_n1100_d0.50_c30_1(Pool),Netgen,1.431,0.588,0.737,0.235,1100,604450,549.5,2.3105,0.57976,0.001851
Netgen_n1100_d0.50_c40_1(Pool),Netgen,1.641,0.53,0.811,0.387,1100,604450,549.5,2.3068,0.59007,0.00185
Netgen_n1100_d0.50_c5000_1(Pool),Netgen,0.015,0.01,0.012,0,1100,604450,549.5,101.9351,0.58101,0.006812
Netgen_n1100_d0.50_c50_1(Pool),Netgen,0.055,0.02,0.023,0.006,1100,604450,549.5,90.7509,0.56687,0.005559
Netgen_n1100_d0.50_c5_1(Pool),Netgen,5.14,3.651,4.099,2.474,1100,604450,549.5,0.29044,0.57091,0.001824
Netgen_n12000_d0.005_c1000000_1(Pool),Netgen,0.048,0.029,0.046,0.003,12000,719940,59.995,15.077,0.582,0.004998
Netgen_n12000_d0.012_c1000000_1(Pool),Netgen,0.042,0.018,0.02,0.003,12000,1727856,143.988,36.5897,0.58084,0.011941
Netgen_n12000_d0.014_c1000000_1(Pool),Netgen,0.173,0.044,0.084,0.036,12000,2015832,167.986,41.3591,0.5738,0.013998
Netgen_n12000_d0.016_c1000000_1(Pool),Netgen,0.058,0.022,0.026,0.003,12000,2303808,191.984,48.013,0.57655,0.016012
Netgen_n12000_d0.018_c1000000_1(Pool),Netgen,0.073,0.048,0.053,0.004,12000,2591784,215.982,54.5671,0.58174,0.017965
Netgen_n12000_d0.01_c1000000_1(Pool),Netgen,0.039,0.017,0.02,0.003,12000,1439880,119.99,29.9652,0.57874,0.010045
Netgen_n12000_d0.023_c1000000_1(Pool),Netgen,0.086,0.046,0.057,0.004,12000,3311724,275.977,68.3887,0.57231,0.023009
Netgen_n12000_d0.026_c1000000_1(Pool),Netgen,0.103,0.061,0.067,0.004,12000,3743688,311.974,78.3537,0.57925,0.025987
Netgen_n12000_d0.02_c1000000_1(Pool),Netgen,0.076,0.04,0.04,0.004,12000,2879760,239.98,60.0883,0.57712,0.020006
Netgen_n12000_d0.035_c1000000_1(Pool),Netgen,0.125,0.07,0.077,0.003,12000,5039580,419.965,104.9677,0.57567,0.034946
Netgen_n12000_d0.03_c1000000_1(Pool),Netgen,0.108,0.064,0.068,0.004,12000,4319640,359.97,90.0475,0.57796,0.030028
Netgen_n12000_d0.10_c1000000_1(Pool),Netgen,1.039,0.304,0.316,0.089,12000,14398800,1199.9,297.1205,0.57322,0.10004
Netgen_n1200_d0.50_c15_1(Pool),Netgen,3.241,1.206,1.608,0.559,1200,719400,599.5,1.3437,0.54641,0.001684
Netgen_n1200_d0.50_c20000_1(Pool),Netgen,0.038,0.013,0.016,0.001,1200,719400,599.5,139.8293,0.58421,0.021629
Netgen_n1200_d0.50_c20_1(Pool),Netgen,0.078,0.026,0.034,0.008,1200,719400,599.5,50.0743,0.58849,0.002473
Netgen_n1200_d0.50_c30_1(Pool),Netgen,2.13,0.686,0.927,0.38,1200,719400,599.5,2.3345,0.59305,0.001693
Netgen_n1200_d0.50_c40_1(Pool),Netgen,2.491,0.873,1.117,0.674,1200,719400,599.5,1.8554,0.56849,0.00169
Netgen_n1200_d0.50_c50_1(Pool),Netgen,1.029,0.304,0.417,0.152,1200,719400,599.5,4.4124,0.57927,0.001719
Netgen_n13000_d0.04_c1000000_1(Pool),Netgen,0.175,0.119,0.129,0.004,13000,6759480,519.96,130.4182,0.57749,0.039993
Netgen_n1300_d0.50_c1000000_1(Pool),Netgen,0.062,0.019,0.019,0.006,1300,844350,649.5,160.652,0.57337,0.49983
Netgen_n1300_d0.50_c1000_1(Pool),Netgen,0.057,0.023,0.027,0.005,1300,844350,649.5,86.2709,0.56746,0.003381
Netgen_n1300_d0.50_c100_1(Pool),Netgen,0.823,0.261,0.352,0.114,1300,844350,649.5,7.4174,0.57407,0.001613
Netgen_n1300_d0.50_c10_1(Pool),Netgen,5.737,2.314,3.316,1.518,1300,844350,649.5,0.91086,0.58713,0.001548
Netgen_n1300_d0.50_c20000_1(Pool),Netgen,0.047,0.015,0.017,0.001,1300,844350,649.5,149.397,0.56592,0.025525
Netgen_n1300_d0.50_c40_1(Pool),Netgen,1.418,0.442,0.63,0.239,1300,844350,649.5,4.2333,0.57562,0.001581
Netgen_n1300_d0.50_c5000_1(Pool),Netgen,0.019,0.013,0.015,0,1300,844350,649.5,106.9874,0.58013,0.004507
Netgen_n1300_d0.50_c5_1(Pool),Netgen,7.67,3.851,4.681,2.768,1300,844350,649.5,0.63302,0.57789,0.001546
Netgen_n1300_d0.50_c60_1(Pool),Netgen,0.329,0.1,0.134,0.03,1300,844350,649.5,19.4864,0.59828,0.00174
Netgen_n13500_d0.10_c1000000_1(Pool),Netgen,1.536,0.428,0.439,0.259,13500,18223650,1349.9,338.1848,0.57656,0.099981
Netgen_n1400_d0.50_c1000_1(Pool),Netgen,0.152,0.041,0.054,0.019,1400,979300,699.5,74.0472,0.59202,0.00243
Netgen_n1400_d0.50_c10_1(Pool),Netgen,3.119,1.081,1.475,0.64,1400,979300,699.5,2.258,0.56997,0.001449
Netgen_n1400_d0.50_c20_1(Pool),Netgen,3.908,1.527,1.986,0.784,1400,979300,699.5,1.8239,0.58534,0.001444
Netgen_n1400_d0.50_c5000_1(Pool),Netgen,0.022,0.015,0.017,0,1400,979300,699.5,126.3645,0.56036,0.00558
Netgen_n1400_d0.50_c5_1(Pool),Netgen,9.212,3.8,5.203,2.147,1400,979300,699.5,0.72288,0.57261,0.001436
Netgen_n1400_d0.50_c90_1(Pool),Netgen,0.749,0.213,0.311,0.088,1400,979300,699.5,10.8084,0.59604,0.00152
Netgen_n14500_d0.005_c1000000_1(Pool),Netgen,0.064,0.038,0.075,0.004,14500,1051177,72.495,18.1097,0.57648,0.005002
Netgen_n14500_d0.012_c1000000_1(Pool),Netgen,0.212,0.056,0.092,0.037,14500,2522826,173.988,43.6775,0.58118,0.012002
Netgen_n14500_d0.014_c1000000_1(Pool),Netgen,0.272,0.064,0.089,0.057,14500,2943297,202.986,50.7297,0.57768,0.013996
Netgen_n14500_d0.016_c1000000_1(Pool),Netgen,0.309,0.077,0.106,0.047,14500,3363768,231.984,58.2627,0.5806,0.016055
Netgen_n14500_d0.018_c1000000_1(Pool),Netgen,0.299,0.079,0.147,0.059,14500,3784239,260.982,65.0762,0.58057,0.018052
Netgen_n14500_d0.01_c1000000_1(Pool),Netgen,0.204,0.05,0.073,0.036,14500,2102355,144.99,36.3015,0.57619,0.01
Netgen_n14500_d0.023_c1000000_1(Pool),Netgen,0.372,0.1,0.204,0.042,14500,4835416,333.477,82.7892,0.57308,0.023047
Netgen_n14500_d0.026_c1000000_1(Pool),Netgen,0.154,0.092,0.091,0.004,14500,5466123,376.974,95.1253,0.58367,0.026006
Netgen_n14500_d0.02_c1000000_1(Pool),Netgen,0.11,0.075,0.086,0.005,14500,4204710,289.98,73.1167,0.58116,0.01999
Netgen_n14500_d0.03_c1000000_1(Pool),Netgen,0.152,0.07,0.072,0.006,14500,6307065,434.97,110.1955,0.58188,0.029971
Netgen_n15000_d0.10_c1000000_1(Pool),Netgen,0.535,0.357,0.397,0.008,15000,22498500,1499.9,373.4617,0.57582,0.099972
Netgen_n1500_d0.005_c1000000_1(Pool),Netgen,0,0,0,0,1500,11242,7.4947,1.9142,0.56828,0.004984
Netgen_n1500_d0.007_c1000000_1(Pool),Netgen,0.001,0,0,0,1500,15739,10.4927,2.6603,0.5751,0.006965
Netgen_n1500_d0.008_c1000000_1(Pool),Netgen,0.001,0,0,0,1500,17988,11.992,3.1993,0.56681,0.00771
Netgen_n1500_d0.012_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1500,26982,17.988,4.6572,0.56789,0.01154
Netgen_n1500_d0.014_c1000000_1(Pool),Netgen,0.002,0.001,0.001,0,1500,31479,20.986,5.1718,0.58224,0.014447
Netgen_n1500_d0.016_c1000000_1(Pool),Netgen,0.001,0.001,0.001,0,1500,35976,23.984,5.8899,0.55612,0.016083
Netgen_n1500_d0.018_c1000000_1(Pool),Netgen,0.001,0.001,0.001,0,1500,40473,26.982,6.9557,0.59027,0.017639
Netgen_n1500_d0.01_c1000000_1(Pool),Netgen,0.001,0,0.001,0,1500,22485,14.99,3.7338,0.58176,0.010276
Netgen_n1500_d0.023_c1000000_1(Pool),Netgen,0.005,0.001,0.002,0,1500,51715,34.4767,8.5897,0.58304,0.023699
Netgen_n1500_d0.02_c1000000_1(Pool),Netgen,0.001,0.001,0.002,0,1500,44970,29.98,7.7275,0.5922,0.020144
Netgen_n1500_d0.035_c1000000_1(Pool),Netgen,0.001,0.001,0.001,0,1500,78697,52.4647,12.9746,0.57526,0.035078
Netgen_n1500_d0.03_c1000000_1(Pool),Netgen,0.004,0.001,0.003,0.001,1500,67455,44.97,11.4812,0.57764,0.029424
Netgen_n1500_d0.05_c1000000_1(Pool),Netgen,0.008,0.003,0.005,0.002,1500,112425,74.95,18.81,0.57288,0.049979
Netgen_n1500_d0.07_c1000000_1(Pool),Netgen,0.009,0.003,0.005,0.001,1500,157395,104.93,25.9797,0.57428,0.069563
Netgen_n1500_d0.10_c1000000_1(Pool),Netgen,0.006,0.003,0.004,0,1500,224850,149.9,39.2936,0.5989,0.099699
Netgen_n1500_d0.50_c100_1(Pool),Netgen,0.451,0.125,0.156,0.054,1500,1124250,749.5,20.0307,0.58739,0.00149
Netgen_n1500_d0.50_c10_1(Pool),Netgen,8.667,3.151,4.064,1.795,1500,1124250,749.5,1.1257,0.56121,0.001342
Netgen_n1500_d0.50_c15_1(Pool),Netgen,2.278,0.812,1.045,0.3,1500,1124250,749.5,3.9982,0.57691,0.001363
Netgen_n1500_d0.50_c20000_1(Pool),Netgen,0.023,0.015,0.02,0,1500,1124250,749.5,166.0199,0.56807,0.014135
Netgen_n1500_d0.50_c20_1(Pool),Netgen,3.398,1.048,1.419,0.572,1500,1124250,749.5,2.8423,0.56605,0.001355
Netgen_n1500_d0.50_c30_1(Pool),Netgen,1.62,0.479,0.625,0.236,1500,1124250,749.5,5.7848,0.5615,0.001378
Netgen_n1500_d0.50_c500_1(Pool),Netgen,0.125,0.044,0.06,0.014,1500,1124250,749.5,46.3094,0.55964,0.001798
Netgen_n1500_d0.50_c5_1(Pool),Netgen,15.993,8.52,10.165,5.092,1500,1124250,749.5,0.43391,0.57663,0.001337
Netgen_n1500_d0.70_c1000000_1(Pool),Netgen,0.119,0.039,0.048,0.016,1500,1573950,1049.3,223.0014,0.4788,0.69974
Netgen_n1500_d1_c1000000_1(Pool),Netgen,0.137,0.048,0.041,0.016,1500,2245502,1497.0013,12.7511,0.036527,0.99822
Netgen_n15500_d0.035_c1000000_1(Pool),Netgen,0.214,0.133,0.146,0.005,15500,8408207,542.465,136.421,0.58171,0.035037
Netgen_n16000_d0.10_c1000000_1(Pool),Netgen,1.818,0.589,0.635,0.292,16000,25598400,1599.9,398.2734,0.57499,0.099967
Netgen_n1600_d0.50_c1000000_1(Pool),Netgen,0.045,0.03,0.027,0.012,1600,1279200,799.5,210.4082,0.60239,0.50043
Netgen_n1600_d0.50_c40_1(Pool),Netgen,1.859,0.613,0.752,0.328,1600,1279200,799.5,6.3835,0.57831,0.001292
Netgen_n1600_d0.50_c5000_1(Pool),Netgen,0.033,0.02,0.03,0.001,1600,1279200,799.5,144.177,0.58296,0.004422
Netgen_n16500_d0.04_c1000000_1(Pool),Netgen,0.256,0.154,0.134,0.006,16500,10889340,659.96,166.1264,0.58076,0.040006
