Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
AC_F_Spec_n3250(Pool),AC,125.933,70.631,100.437,0.336,3250,5279625,1624.5,0,0,0.000206
AC_F_Spec_n4000(Pool),AC,302.464,131.721,173.98,0.676,4000,7998000,1999.5,0,0,0.000167
AC_F_Spec_n500(Pool),AC,0.299,0.175,0.207,0.005,500,124750,249.5,0,0,0.001355
AC_F_Spec_n550(Pool),AC,0.424,0.238,0.292,0.006,550,150975,274.5,0,0,0.00123
AC_F_Spec_n6000(Pool),AC,876.115,394.762,600.986,1.373,6000,17997000,2999.5,0,0,0.000111
AC_F_Spec_n600(Pool),AC,0.718,0.305,0.405,0.008,600,179700,299.5,0,0,0.001126
AC_F_Spec_n700(Pool),AC,1.158,0.59,0.739,0.011,700,244650,349.5,0,0,0.000963
AC_F_Spec_n800(Pool),AC,1.705,0.831,1.282,0.014,800,319600,399.5,0,0,0.000842
AC_S_Spec_n10000000_1(Pool),AC,1.595,2.274,2.63,2.748,10000000,19999997,2,0,1581.1384,0
AC_S_Spec_n1000000_1(Pool),AC,0.161,0.28,0.25,0.183,1000000,1999997,2,2.00E-06,499.9987,2.00E-06
AC_S_Spec_n100000_1(Pool),AC,0.015,0.021,0.017,0.015,100000,199997,2,2.00E-05,158.1099,2.00E-05
AC_S_Spec_n10000_1(Pool),AC,0.001,0.001,0.001,0.001,10000,19997,1.9997,0.0002,49.9875,0.0002
AC_S_Spec_n13000000(Pool),AC,2.385,3.12,3.594,2.501,13000000,25999997,2,0,1802.7753,0
AC_S_Spec_n1300000(Pool),AC,0.273,0.355,0.419,0.248,1300000,2599997,2,2.00E-06,570.0866,2.00E-06
AC_S_Spec_n140000(Pool),AC,0.024,0.03,0.042,0.023,140000,279997,2,1.40E-05,187.0795,1.40E-05
AC_S_Spec_n14000(Pool),AC,0.001,0.001,0.001,0.001,14000,27997,1.9998,0.000143,59.1502,0.000143
AC_S_Spec_n16500000(Pool),AC,3.904,3.67,4.428,3.309,16500000,32999997,2,0,2031.0093,0
AC_S_Spec_n1700000(Pool),AC,0.282,0.391,0.437,0.353,1700000,3399997,2,1.00E-06,651.9193,1.00E-06
AC_S_Spec_n200000(Pool),AC,0.032,0.045,0.053,0.059,200000,399997,2,1.00E-05,223.604,1.00E-05
AC_S_Spec_n20000_1(Pool),AC,0.003,0.002,0.002,0.002,20000,39997,1.9998,0.0001,70.7018,0.0001
AC_S_Spec_n21000000(Pool),AC,4.18,5.01,7.249,4.699,21000000,41999997,2,0,2291.2876,0
AC_S_Spec_n2200000(Pool),AC,0.397,0.533,0.594,0.463,2200000,4399997,2,1.00E-06,741.619,1.00E-06
AC_S_Spec_n2500(Pool),AC,0,0,0,0,2500,4997,1.9988,0.0008,24.975,0.0008
AC_S_Spec_n2800000(Pool),AC,0.672,0.691,0.816,0.645,2800000,5599997,2,1.00E-06,836.6593,1.00E-06
AC_S_Spec_n280000(Pool),AC,0.056,0.086,0.079,0.058,280000,559997,2,7.00E-06,264.5728,7.00E-06
AC_S_Spec_n28000(Pool),AC,0.003,0.003,0.005,0.003,28000,55997,1.9999,7.10E-05,83.6585,7.10E-05
AC_S_Spec_n2900000(Pool),AC,0.528,0.699,0.863,0.636,2900000,5799997,2,1.00E-06,851.4686,1.00E-06
AC_S_Spec_n3500(Pool),AC,0,0,0,0,3500,6997,1.9991,0.000572,29.5593,0.000571
AC_S_Spec_n3600000(Pool),AC,0.721,1.037,1.025,0.971,3600000,7199997,2,1.00E-06,948.6826,1.00E-06
AC_S_Spec_n380000(Pool),AC,0.077,0.108,0.107,0.105,380000,759997,2,5.00E-06,308.2187,5.00E-06
AC_S_Spec_n38000(Pool),AC,0.006,0.005,0.006,0.005,38000,75997,1.9999,5.30E-05,97.4615,5.30E-05
AC_S_Spec_n4500(Pool),AC,0,0,0,0,4500,8997,1.9993,0.000444,33.5224,0.000444
AC_S_Spec_n4600000(Pool),AC,0.862,1.465,1.282,0.955,4600000,9199997,2,0,1072.3799,0
AC_S_Spec_n500000(Pool),AC,0.117,0.122,0.134,0.113,500000,999997,2,4.00E-06,353.5516,4.00E-06
AC_S_Spec_n55000(Pool),AC,0.008,0.009,0.012,0.008,55000,109997,1.9999,3.60E-05,117.2551,3.60E-05
AC_S_Spec_n5900000(Pool),AC,1.303,1.456,2.076,1.245,5900000,11799997,2,0,1214.4953,0
AC_S_Spec_n6000(Pool),AC,0,0,0.001,0,6000,11997,1.9995,0.000333,38.7137,0.000333
AC_S_Spec_n650000(Pool),AC,0.146,0.153,0.16,0.141,650000,1299997,2,3.00E-06,403.1113,3.00E-06
AC_S_Spec_n7500000(Pool),AC,1.284,1.718,2.13,1.524,7500000,14999997,2,0,1369.3059,0
AC_S_Spec_n75000(Pool),AC,0.008,0.014,0.017,0.017,75000,149997,2,2.70E-05,136.9261,2.70E-05
AC_S_Spec_n100000000_1(Spec),AC,15.417,23.313,23.946,18.897,100000000,199999997,2,0,4999.9999,0
AK_1048574(K_1k),AK,0.051,11.903,6.55,0.067,1048574,1572859,1.5,5.00E-06,170.6655,2.00E-06
AK_131070(K_1k),AK,0.007,0.854,0.574,0.008,131070,196603,1.5,3.80E-05,60.3365,1.30E-05
AK_134217726(K_1k),AK,7.217,1803.027,879.663,8.314,134217726,201326587,1.5,0,1930.8728,0
AK_16382(K_1k),AK,0.001,0.069,0.045,0.002,16382,24571,1.4999,0.000263,21.324,0.000107
AK_16777214(K_1k),AK,1.02,236.604,133.503,1.231,16777214,25165819,1.5,0,682.6664,0
AK_2046(K_1k),AK,0.002,0.002,0.002,0,2046,3067,1.499,0.002431,7.5161,0.000438
AK_2097150(K_1k),AK,0.104,24.51,13.683,0.135,2097150,3145723,1.5,2.00E-06,241.3583,1.00E-06
